Unnamed: 0,年份,球员,位置,出场次数,效率值,赛季总得分
1706,1962.0,Wilt Chamberlain*,C,80.0,31.7,4029.0
1827,1963.0,Wilt Chamberlain*,C,80.0,31.8,3586.0
8469,1987.0,Michael Jordan*,SG,82.0,29.8,3041.0
1593,1961.0,Wilt Chamberlain*,C,79.0,27.8,3033.0
1962,1964.0,Wilt Chamberlain*,C,80.0,31.6,2948.0
8869,1988.0,Michael Jordan*,SG,82.0,31.7,2868.0
17742,2006.0,Kobe Bryant,SG,80.0,28.0,2832.0
4255,1975.0,Bob McAdoo*,C,82.0,25.8,2831.0
3316,1972.0,Kareem Abdul-Jabbar*,C,81.0,29.9,2822.0
2355,1967.0,Rick Barry*,SF,78.0,24.2,2775.0
